Interval,CSVdata
2019-01-20 23:57:35.350,2019-01-20 23:57:35.350
2019-01-20 23:57:53.190,2019-01-20 23:57:53.190
2019-01-20 23:58:10.650,2019-01-20 23:58:10.650
2019-01-20 23:58:29.340,2019-01-20 23:58:29.340
2019-01-20 23:58:48.040,2019-01-20 23:58:48.040
2019-01-20 23:59:05.290,2019-01-20 23:59:05.290
2019-01-20 23:59:23.990,2019-01-20 23:59:23.990
2019-01-20 23:59:42.680,2019-01-20 23:59:42.680
2019-01-21 00:00:01.380,2019-01-21 00:00:01.380
2019-01-21 00:00:20.070,2019-01-21 00:00:20.070
2019-01-21 00:00:38.760,2019-01-21 00:00:38.760
2019-01-21 00:00:57.460,2019-01-21 00:00:57.460
2019-01-21 00:01:14.710,2019-01-21 00:01:14.710
2019-01-21 00:01:33.410,2019-01-21 00:01:33.410
2019-01-21 00:01:52.100,2019-01-21 00:01:52.100
2019-01-21 00:02:09.360,2019-01-21 00:02:09.360
2019-01-21 00:02:28.050,2019-01-21 00:02:28.050
2019-01-21 00:02:46.750,2019-01-21 00:02:46.750
2019-01-21 00:03:05.440,2019-01-21 00:03:05.440
2019-01-21 00:03:24.130,2019-01-21 00:03:24.130
2019-01-21 00:03:41.390,2019-01-21 00:03:41.390
2019-01-21 00:03:58.650,2019-01-21 00:03:58.650
2019-01-21 00:04:15.900,2019-01-21 00:04:15.900
2019-01-21 00:04:34.600,2019-01-21 00:04:34.600
2019-01-21 00:04:53.290,2019-01-21 00:04:53.290
2019-01-21 00:05:10.550,2019-01-21 00:05:10.550
2019-01-21 00:05:29.240,2019-01-21 00:05:29.240
2019-01-21 00:05:47.940,2019-01-21 00:05:47.940
2019-01-21 00:06:05.190,2019-01-21 00:06:05.190
2019-01-21 00:06:22.450,2019-01-21 00:06:22.450
2019-01-21 00:06:41.090,2019-01-21 00:06:41.090
2019-01-21 00:06:59.390,2019-01-21 00:06:59.390
2019-01-21 00:07:16.890,2019-01-21 00:07:16.890
2019-01-21 00:07:34.390,2019-01-21 00:07:34.390
2019-01-21 00:07:51.890,2019-01-21 00:07:51.890
2019-01-21 00:08:10.640,2019-01-21 00:08:10.640
2019-01-21 00:08:29.390,2019-01-21 00:08:29.390
2019-01-21 00:08:46.890,2019-01-21 00:08:46.890
2019-01-21 00:09:05.960,2019-01-21 00:09:05.960
2019-01-21 00:09:24.890,2019-01-21 00:09:24.890
2019-01-21 00:09:43.180,2019-01-21 00:09:43.180
2019-01-21 00:10:02.140,2019-01-21 00:10:02.140
2019-01-21 00:10:20.890,2019-01-21 00:10:20.890
2019-01-21 00:10:38.390,2019-01-21 00:10:38.390
2019-01-21 00:10:57.980,2019-01-21 00:10:57.980
2019-01-21 00:11:15.640,2019-01-21 00:11:15.640
2019-01-21 00:11:32.890,2019-01-21 00:11:32.890
2019-01-21 00:11:50.140,2019-01-21 00:11:50.140
2019-01-21 00:12:08.440,2019-01-21 00:12:08.440
2019-01-21 00:12:26.180,2019-01-21 00:12:26.180
2019-01-21 00:12:44.640,2019-01-21 00:12:44.640
2019-01-21 00:13:01.940,2019-01-21 00:13:01.940
2019-01-21 00:13:20.180,2019-01-21 00:13:20.180
2019-01-21 00:13:38.640,2019-01-21 00:13:38.640
2019-01-21 00:13:56.640,2019-01-21 00:13:56.640
2019-01-21 00:14:14.640,2019-01-21 00:14:14.640
2019-01-21 00:14:32.300,2019-01-21 00:14:32.300
2019-01-21 00:14:50.140,2019-01-21 00:14:50.140
2019-01-21 00:15:07.390,2019-01-21 00:15:07.390
2019-01-21 00:15:24.640,2019-01-21 00:15:24.640
2019-01-21 00:15:42.250,2019-01-21 00:15:42.250
2019-01-21 00:16:00.020,2019-01-21 00:16:00.020
2019-01-21 00:16:17.640,2019-01-21 00:16:17.640
2019-01-21 00:16:35.800,2019-01-21 00:16:35.800
2019-01-21 00:16:53.390,2019-01-21 00:16:53.390
2019-01-21 00:17:11.140,2019-01-21 00:17:11.140
2019-01-21 00:17:29.140,2019-01-21 00:17:29.140
2019-01-21 00:17:46.570,2019-01-21 00:17:46.570
2019-01-21 00:18:04.180,2019-01-21 00:18:04.180
2019-01-21 00:18:22.800,2019-01-21 00:18:22.800
2019-01-21 00:18:41.390,2019-01-21 00:18:41.390
2019-01-21 00:19:00.430,2019-01-21 00:19:00.430
2019-01-21 00:19:18.640,2019-01-21 00:19:18.640
2019-01-21 00:19:36.970,2019-01-21 00:19:36.970
2019-01-21 00:19:55.130,2019-01-21 00:19:55.130
2019-01-21 00:20:11.470,2019-01-21 00:20:11.470
2019-01-21 00:20:31.950,2019-01-21 00:20:31.950
2019-01-21 00:20:49.950,2019-01-21 00:20:49.950
2019-01-21 00:21:07.950,2019-01-21 00:21:07.950
2019-01-21 00:21:25.950,2019-01-21 00:21:25.950
2019-01-21 00:21:43.950,2019-01-21 00:21:43.950
2019-01-21 00:22:01.200,2019-01-21 00:22:01.200
2019-01-21 00:22:18.450,2019-01-21 00:22:18.450
2019-01-21 00:22:36.460,2019-01-21 00:22:36.460
2019-01-21 00:22:54.460,2019-01-21 00:22:54.460
2019-01-21 00:23:12.460,2019-01-21 00:23:12.460
2019-01-21 00:23:29.710,2019-01-21 00:23:29.710
2019-01-21 00:23:46.960,2019-01-21 00:23:46.960
2019-01-21 00:24:04.890,2019-01-21 00:24:04.890
2019-01-21 00:24:24.210,2019-01-21 00:24:24.210
2019-01-21 00:24:41.210,2019-01-21 00:24:41.210
2019-01-21 00:24:58.210,2019-01-21 00:24:58.210
2019-01-21 00:25:16.210,2019-01-21 00:25:16.210
2019-01-21 00:25:34.210,2019-01-21 00:25:34.210
2019-01-21 00:25:52.210,2019-01-21 00:25:52.210
2019-01-21 00:26:10.210,2019-01-21 00:26:10.210
2019-01-21 00:26:29.210,2019-01-21 00:26:29.210
2019-01-21 00:26:48.210,2019-01-21 00:26:48.210
2019-01-21 00:27:06.210,2019-01-21 00:27:06.210
2019-01-21 00:27:24.210,2019-01-21 00:27:24.210
2019-01-21 00:27:42.210,2019-01-21 00:27:42.210
2019-01-21 00:27:59.210,2019-01-21 00:27:59.210
2019-01-21 00:28:16.210,2019-01-21 00:28:16.210
2019-01-21 00:28:34.210,2019-01-21 00:28:34.210
2019-01-21 00:28:52.210,2019-01-21 00:28:52.210
2019-01-21 00:29:10.210,2019-01-21 00:29:10.210
2019-01-21 00:29:28.210,2019-01-21 00:29:28.210
2019-01-21 00:29:46.210,2019-01-21 00:29:46.210
2019-01-21 00:30:04.210,2019-01-21 00:30:04.210
2019-01-21 00:30:22.210,2019-01-21 00:30:22.210
2019-01-21 00:30:39.210,2019-01-21 00:30:39.210
2019-01-21 00:30:56.210,2019-01-21 00:30:56.210
2019-01-21 00:31:14.210,2019-01-21 00:31:14.210
2019-01-21 00:31:32.210,2019-01-21 00:31:32.210
2019-01-21 00:31:50.210,2019-01-21 00:31:50.210
2019-01-21 00:32:08.210,2019-01-21 00:32:08.210
2019-01-21 00:32:26.210,2019-01-21 00:32:26.210
2019-01-21 00:32:44.210,2019-01-21 00:32:44.210
2019-01-21 00:33:02.210,2019-01-21 00:33:02.210
2019-01-21 00:33:20.210,2019-01-21 00:33:20.210
2019-01-21 00:33:38.210,2019-01-21 00:33:38.210
2019-01-21 00:33:56.210,2019-01-21 00:33:56.210
2019-01-21 00:34:14.210,2019-01-21 00:34:14.210
2019-01-21 00:34:32.210,2019-01-21 00:34:32.210
2019-01-21 00:34:50.210,2019-01-21 00:34:50.210
2019-01-21 00:35:08.210,2019-01-21 00:35:08.210
2019-01-21 00:35:25.210,2019-01-21 00:35:25.210
2019-01-21 00:35:42.210,2019-01-21 00:35:42.210
2019-01-21 00:36:00.210,2019-01-21 00:36:00.210
2019-01-21 00:36:18.210,2019-01-21 00:36:18.210
2019-01-21 00:36:36.210,2019-01-21 00:36:36.210
2019-01-21 00:36:54.210,2019-01-21 00:36:54.210
2019-01-21 00:37:11.210,2019-01-21 00:37:11.210
2019-01-21 00:37:28.210,2019-01-21 00:37:28.210
2019-01-21 00:37:46.210,2019-01-21 00:37:46.210
2019-01-21 00:38:03.210,2019-01-21 00:38:03.210
2019-01-21 00:38:20.210,2019-01-21 00:38:20.210
2019-01-21 00:38:38.210,2019-01-21 00:38:38.210
2019-01-21 00:38:56.210,2019-01-21 00:38:56.210
2019-01-21 00:39:14.210,2019-01-21 00:39:14.210
2019-01-21 00:39:32.210,2019-01-21 00:39:32.210
2019-01-21 00:39:50.210,2019-01-21 00:39:50.210
2019-01-21 00:40:08.210,2019-01-21 00:40:08.210
2019-01-21 00:40:26.210,2019-01-21 00:40:26.210
2019-01-21 00:40:44.210,2019-01-21 00:40:44.210
2019-01-21 00:41:02.210,2019-01-21 00:41:02.210
2019-01-21 00:41:20.210,2019-01-21 00:41:20.210
2019-01-21 00:41:38.210,2019-01-21 00:41:38.210
2019-01-21 00:41:56.210,2019-01-21 00:41:56.210
2019-01-21 00:42:13.210,2019-01-21 00:42:13.210
2019-01-21 00:42:30.210,2019-01-21 00:42:30.210
2019-01-21 00:42:48.210,2019-01-21 00:42:48.210
2019-01-21 00:43:06.210,2019-01-21 00:43:06.210
2019-01-21 00:43:24.210,2019-01-21 00:43:24.210
2019-01-21 00:43:42.210,2019-01-21 00:43:42.210
2019-01-21 00:44:00.210,2019-01-21 00:44:00.210
2019-01-21 00:44:17.210,2019-01-21 00:44:17.210
2019-01-21 00:44:34.210,2019-01-21 00:44:34.210
2019-01-21 00:44:52.210,2019-01-21 00:44:52.210
2019-01-21 00:45:10.210,2019-01-21 00:45:10.210
2019-01-21 00:45:29.210,2019-01-21 00:45:29.210
2019-01-21 00:45:48.210,2019-01-21 00:45:48.210
2019-01-21 00:46:06.210,2019-01-21 00:46:06.210
2019-01-21 00:46:24.210,2019-01-21 00:46:24.210
2019-01-21 00:46:42.210,2019-01-21 00:46:42.210
2019-01-21 00:47:00.210,2019-01-21 00:47:00.210
2019-01-21 00:47:18.210,2019-01-21 00:47:18.210
2019-01-21 00:47:35.220,2019-01-21 00:47:35.220
2019-01-21 00:47:52.220,2019-01-21 00:47:52.220
2019-01-21 00:48:10.210,2019-01-21 00:48:10.220
2019-01-21 00:48:28.220,2019-01-21 00:48:28.220
2019-01-21 00:48:45.220,2019-01-21 00:48:45.220
2019-01-21 00:49:02.220,2019-01-21 00:49:02.220
2019-01-21 00:49:20.220,2019-01-21 00:49:20.220
2019-01-21 00:49:38.220,2019-01-21 00:49:38.220
2019-01-21 00:49:56.220,2019-01-21 00:49:56.220
2019-01-21 00:50:13.220,2019-01-21 00:50:13.220
2019-01-21 00:50:30.220,2019-01-21 00:50:30.220
2019-01-21 00:50:49.220,2019-01-21 00:50:49.220
2019-01-21 00:51:08.220,2019-01-21 00:51:08.220
2019-01-21 00:51:27.220,2019-01-21 00:51:27.220
2019-01-21 00:51:46.220,2019-01-21 00:51:46.220
2019-01-21 00:52:04.220,2019-01-21 00:52:04.220
2019-01-21 00:52:22.220,2019-01-21 00:52:22.220
2019-01-21 00:52:40.220,2019-01-21 00:52:40.220
2019-01-21 00:52:59.220,2019-01-21 00:52:59.220
2019-01-21 00:53:18.220,2019-01-21 00:53:18.220
2019-01-21 00:53:36.220,2019-01-21 00:53:36.220
2019-01-21 00:53:54.220,2019-01-21 00:53:54.220
2019-01-21 00:54:12.220,2019-01-21 00:54:12.220
2019-01-21 00:54:30.220,2019-01-21 00:54:30.220
2019-01-21 00:54:47.220,2019-01-21 00:54:47.220
2019-01-21 00:55:04.220,2019-01-21 00:55:04.220
2019-01-21 00:55:23.220,2019-01-21 00:55:23.220
2019-01-21 00:55:42.220,2019-01-21 00:55:42.220
2019-01-21 00:56:00.220,2019-01-21 00:56:00.220
2019-01-21 00:56:18.220,2019-01-21 00:56:18.220
2019-01-21 00:56:36.220,2019-01-21 00:56:36.220
2019-01-21 00:56:54.220,2019-01-21 00:56:54.220
2019-01-21 00:57:13.220,2019-01-21 00:57:13.220
2019-01-21 00:57:32.220,2019-01-21 00:57:32.220
2019-01-21 00:57:50.220,2019-01-21 00:57:50.220
2019-01-21 00:58:07.220,2019-01-21 00:58:07.220
2019-01-21 00:58:24.220,2019-01-21 00:58:24.220
2019-01-21 00:58:42.220,2019-01-21 00:58:42.220
2019-01-21 00:59:00.220,2019-01-21 00:59:00.220
2019-01-21 00:59:18.220,2019-01-21 00:59:18.220
2019-01-21 00:59:36.220,2019-01-21 00:59:36.220
2019-01-21 00:59:54.220,2019-01-21 00:59:54.220
2019-01-21 01:00:11.220,2019-01-21 01:00:11.220
2019-01-21 01:00:29.220,2019-01-21 01:00:29.220
2019-01-21 01:00:48.220,2019-01-21 01:00:48.220
2019-01-21 01:01:05.220,2019-01-21 01:01:05.220
2019-01-21 01:01:23.220,2019-01-21 01:01:23.220
2019-01-21 01:01:42.220,2019-01-21 01:01:42.220
2019-01-21 01:02:00.220,2019-01-21 01:02:00.220
2019-01-21 01:02:18.220,2019-01-21 01:02:18.220
2019-01-21 01:02:36.220,2019-01-21 01:02:36.220
2019-01-21 01:02:54.220,2019-01-21 01:02:54.220
2019-01-21 01:03:12.220,2019-01-21 01:03:12.220
2019-01-21 01:03:30.220,2019-01-21 01:03:30.220
2019-01-21 01:03:48.220,2019-01-21 01:03:48.220
2019-01-21 01:04:06.220,2019-01-21 01:04:06.220
2019-01-21 01:04:24.220,2019-01-21 01:04:24.220
2019-01-21 01:04:42.220,2019-01-21 01:04:42.220
2019-01-21 01:04:59.220,2019-01-21 01:04:59.220
2019-01-21 01:05:16.220,2019-01-21 01:05:16.220
2019-01-21 01:05:34.220,2019-01-21 01:05:34.220
2019-01-21 01:05:52.220,2019-01-21 01:05:52.220
2019-01-21 01:06:10.220,2019-01-21 01:06:10.220
2019-01-21 01:06:28.220,2019-01-21 01:06:28.220
2019-01-21 01:06:46.220,2019-01-21 01:06:46.220
2019-01-21 01:07:04.220,2019-01-21 01:07:04.220
2019-01-21 01:07:22.220,2019-01-21 01:07:22.220
2019-01-21 01:07:40.220,2019-01-21 01:07:40.220
2019-01-21 01:07:58.220,2019-01-21 01:07:58.220
2019-01-21 01:08:16.220,2019-01-21 01:08:16.220
