Roll_date,Roll_time,Roll_milliseconds,Roll_angle
2019-08-19,20:09:51,743,0.63
2019-08-19,20:09:51,843,0.64
2019-08-19,20:09:51,943,0.64
2019-08-19,20:09:52,043,0.64
2019-08-19,20:09:52,143,0.64
2019-08-19,20:09:52,243,0.63
2019-08-19,20:09:52,343,0.62
2019-08-19,20:09:52,443,0.6
2019-08-19,20:09:52,543,0.58
2019-08-19,20:09:52,643,0.56
2019-08-19,20:09:52,743,0.53
2019-08-19,20:09:52,843,0.5
2019-08-19,20:09:52,943,0.47
2019-08-19,20:09:53,043,0.43
2019-08-19,20:09:53,143,0.39
2019-08-19,20:09:53,243,0.34
2019-08-19,20:09:53,343,0.3
2019-08-19,20:09:53,443,0.26
2019-08-19,20:09:53,543,0.21
2019-08-19,20:09:53,643,0.17
2019-08-19,20:09:53,743,0.12
2019-08-19,20:09:53,843,0.08
2019-08-19,20:09:53,943,0.04
2019-08-19,20:09:54,043,0
2019-08-19,20:09:54,143,-0.04
2019-08-19,20:09:54,243,-0.08
2019-08-19,20:09:54,343,-0.12
2019-08-19,20:09:54,443,-0.15
2019-08-19,20:09:54,543,-0.18
2019-08-19,20:09:54,643,-0.21
2019-08-19,20:09:54,743,-0.24
2019-08-19,20:09:54,843,-0.27
2019-08-19,20:09:54,943,-0.29
2019-08-19,20:09:55,043,-0.32
2019-08-19,20:09:55,143,-0.35
2019-08-19,20:09:55,243,-0.37
2019-08-19,20:09:55,343,-0.4
2019-08-19,20:09:55,443,-0.42
2019-08-19,20:09:55,543,-0.45
2019-08-19,20:09:55,643,-0.48
2019-08-19,20:09:55,743,-0.51
2019-08-19,20:09:55,843,-0.54
2019-08-19,20:09:55,943,-0.57
2019-08-19,20:09:56,043,-0.6
2019-08-19,20:09:56,143,-0.63
2019-08-19,20:09:56,243,-0.67
2019-08-19,20:09:56,343,-0.7
2019-08-19,20:09:56,443,-0.74
2019-08-19,20:09:56,543,-0.78
2019-08-19,20:09:56,643,-0.82
